STEPTYPE,DESIGN_ID,STEP,MFG_WORKWEEK,MOD_CUSTOM_TEST_FLOW,DB,NOFA,UNKNOWN,ALL(DPM),ALL,UIN
ATE,Y42M,HMFN,202606.0,-,0.0,0.0,0.0,0.0,0.0,16448.0
ATE,Y42M,HMFN,202608.0,-,0.0,434.0,0.0,434.0,1.0,2304.0
ATE,Y42M,HMFN,202615.0,-,0.0,0.0,0.0,0.0,0.0,11264.0
SLT,Y42M,HMB1,202606.0,-,54.4,0.0,0.0,54.4,1.0,18369.0
SLT,Y42M,HMB1,202609.0,-,0.0,0.0,0.0,0.0,0.0,64.0
SLT,Y42M,HMB1,202610.0,-,0.0,0.0,0.0,0.0,0.0,256.0
SLT,Y42M,HMB1,202611.0,-,0.0,0.0,0.0,0.0,0.0,64.0
SLT,Y42M,HMB1,202612.0,-,0.0,0.0,0.0,0.0,0.0,2048.0
SLT,Y42M,HMB1,202613.0,-,0.0,0.0,0.0,0.0,0.0,3456.0
SLT,Y42M,HMB1,202614.0,-,0.0,0.0,0.0,0.0,0.0,1664.0
SLT,Y42M,HMB1,202615.0,-,0.0,0.0,0.0,0.0,0.0,1792.0
SLT,Y42M,QMON,202606.0,-,0.0,0.0,0.0,0.0,0.0,18368.0
SLT,Y42M,QMON,202609.0,-,0.0,0.0,0.0,0.0,0.0,64.0
SLT,Y42M,QMON,202610.0,-,0.0,0.0,0.0,0.0,0.0,256.0
SLT,Y42M,QMON,202611.0,-,0.0,0.0,0.0,0.0,0.0,64.0
SLT,Y42M,QMON,202612.0,-,0.0,129032.3,0.0,129032.3,256.0,1984.0
SLT,Y42M,QMON,202613.0,-,0.0,0.0,0.0,0.0,0.0,2944.0
SLT,Y42M,QMON,202614.0,-,0.0,0.0,0.0,0.0,0.0,1920.0
SLT,Y42M,QMON,202615.0,-,0.0,0.0,0.0,0.0,0.0,2240.0
Total,,,,,11.7,3003.4,0.0,3015.1,258.0,85569.0
