STEPTYPE,DESIGN_ID,STEP,MFG_WORKWEEK,MOD_CUSTOM_TEST_FLOW,BOOT,COL_FUSE,DB,DB_SAMEROW,DIG_TO_DIG_SHORT,HALF_BANK,HANG,HGDC,MULTI_BANK_2ROW,MULTI_BANK_BA1_SINGLE_DQ,MULTI_BANK_MULTI_DQ,MULTI_BANK_SINGLE_DQ,MULTI_HALFBANK_MULTI_DQ,MULTI_HALFBANK_SINGLE_DQ,QUINT_SECTION_PERIPH,ROW,ROW_LOCAL,ROW_LOCAL_SWL_ARM,SB,SB_MODSYS,SECTION_FAIL_PERIPH,SECTION_TWO_ROW,SINGLE_BANK,SINGLE_BANK_1CP,SINGLE_BANK_2CP,SINGLE_BURST_SINGLE_ROW,SYS_EVEN_BURST_BIT,SYS_ODD_BURST_BIT,UNKNOWN,ALL(DPM),ALL,UIN
SLT,Y63N,HMB1,202611.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0
SLT,Y63N,HMB1,202612.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.2,0.0,1076.4,2.0,1858.0
SLT,Y63N,HMB1,202615.0,-,0.0,0.0,20.3,15.2,15.2,0.0,0.0,0.0,0.0,0.0,1.0,12.7,0.0,0.0,0.0,0.0,0.0,45.7,30.4,7.6,0.0,0.0,0.0,15.2,0.0,0.0,65.9,45.7,242.5,517.4,34.0,65709.0
SLT,Y63N,HMB1,202616.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.6,315.6,946.7,3.0,3169.0
SLT,Y6CP,HMB1,202607.0,-,0.0,0.0,0.0,0.0,0.0,0.0,8.2,15.9,13.9,0.0,150.9,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,46.5,0.0,0.0,0.0,265.5,48.5,182684.5
SLT,Y6CP,HMB1,202608.0,-,0.0,0.0,0.0,0.0,0.0,0.0,10.4,37.4,4.1,0.0,188.5,0.0,37.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8,0.0,0.0,0.0,351.2,50.5,143809.5
SLT,Y6CP,HMB1,202609.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,0.0,0.0,120.8,0.0,45.3,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.0,0.0,0.0,211.3,7.0,33122.0
SLT,Y6CP,HMB1,202610.0,-,0.0,0.0,0.0,0.4,0.0,0.0,13.6,21.6,2.5,0.5,129.9,0.0,14.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,61.0,3.4,0.0,0.0,251.4,74.0,294367.0
SLT,Y6CP,HMB1,202611.0,-,0.0,0.0,14.5,0.0,0.0,0.0,12.1,32.5,1.3,0.0,55.4,5.0,2.5,2.4,0.0,6.3,0.1,4.8,9.7,2.4,0.0,3.2,0.9,0.0,0.0,62.2,29.0,4.8,0.0,249.3,51.5,206612.5
SLT,Y6CP,HMB1,202612.0,-,0.0,0.0,7.0,0.0,0.0,0.0,31.6,27.7,0.0,0.0,79.7,2.5,0.0,11.7,0.0,0.1,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,4.7,63.3,11.8,2.3,0.0,247.0,52.8,213547.8
SLT,Y6CP,HMB1,202613.0,-,0.0,1.9,9.1,3.8,0.0,0.0,10.3,55.2,0.9,0.0,112.1,6.0,3.8,11.3,0.0,5.9,0.0,0.0,8.4,5.6,3.8,0.0,1.9,0.0,0.0,63.2,10.3,4.7,0.0,318.0,84.7,266515.8
SLT,Y6CP,HMB1,202614.0,-,6.7,0.0,3.3,0.0,0.0,0.0,25.0,59.0,0.8,0.0,80.7,1.8,0.0,17.7,0.0,2.5,0.0,0.0,10.0,4.2,3.4,0.0,5.0,0.0,0.0,49.9,20.0,3.9,0.0,293.8,88.3,300588.5
SLT,Y6CP,HMB1,202615.0,-,0.0,0.0,0.0,0.0,0.0,6.1,30.3,83.3,2.5,0.0,91.8,3.0,0.2,12.1,0.0,2.0,0.0,0.0,6.1,0.0,6.2,0.0,0.0,0.0,0.0,14.3,9.1,0.0,0.0,266.9,44.0,164838.0
SLT,Y6CP,HMB1,202616.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,57.8,0.1,0.0,2.4,0.0,2.4,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.4,11.9,0.0,100.3,186.7,39.3,210384.0
Total,,,,,1.0,0.2,4.4,1.0,0.5,0.5,15.1,36.1,2.4,0.1,99.1,2.9,8.6,7.1,0.2,2.3,0.0,1.9,5.9,1.8,2.1,0.3,1.0,0.5,0.5,46.9,12.7,4.3,18.2,277.5,579.6,2088229.5
