STEPTYPE,DESIGN_ID,STEP,MFG_WORKWEEK,MOD_CUSTOM_TEST_FLOW,COL_FUSE,DB,DB_SAMEROW,DIG_TO_DIG_SHORT,HGDC,LOCAL_DQ,MULTI_BANK_2ROW,MULTI_BANK_MULTI_DQ,MULTI_BANK_SINGLE_DQ,MULTI_HALFBANK_SINGLE_DQ,ROW,ROW_LOCAL_SWL_ARM,SB,SB_MODSYS,SG_DIG_SHORT,SINGLE_BANK,SINGLE_BANK_1CP,SINGLE_BANK_2CP,SINGLE_BURST_SINGLE_ROW,SYS_EVEN_BURST_BIT,SYS_ODD_BURST_BIT,TWO_ROW_LOCAL_SHORT,TWO_ROW_SHORT,UNKNOWN,ALL(DPM),ALL,UIN
ATE,Y63N,HMFN,202607.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1376.0
ATE,Y63N,HMFN,202609.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.7,0.0,0.0,529.7,1.0,1888.0
ATE,Y63N,HMFN,202610.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.7,1.0,3168.0
ATE,Y63N,HMFN,202611.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.0
ATE,Y63N,HMFN,202612.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0
ATE,Y63N,HMFN,202614.0,-,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,37.1,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,395.4,531.4,43.0,80924.0
ATE,Y63N,HMFN,202615.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562.5,0.0,2083.3,2.0,960.0
ATE,Y63N,HMFN,202616.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0
SLT,Y63N,HMB1,202611.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0
SLT,Y63N,HMB1,202612.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.2,0.0,0.0,0.0,1076.4,2.0,1858.0
SLT,Y63N,HMB1,202615.0,-,0.0,25.4,45.7,15.2,0.0,0.0,15.2,31.4,12.7,15.2,10.1,45.7,45.7,7.6,0.0,15.2,15.2,0.0,30.4,65.9,106.5,0.0,0.0,14.3,517.4,34.0,65709.0
SLT,Y63N,HMB1,202616.0,-,0.0,0.0,0.0,0.0,284.9,0.0,0.0,0.0,149.5,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.8,149.5,0.0,0.0,0.0,747.4,5.0,6690.0
SLT,Y63N,QMON,202611.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0
SLT,Y63N,QMON,202612.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.0
SLT,Y63N,QMON,202615.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5,12.2,0.0,0.0,3.1,0.0,0.0,0.0,15.3,30.6,7.6,0.0,0.0,0.0,0.0,122.3,8.0,65390.0
SLT,Y63N,QMON,202616.0,-,0.0,153.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.3,2.0,6530.0
Total,,,,,8.2,10.9,12.3,4.1,7.8,0.0,4.1,8.4,7.5,30.8,18.3,12.3,20.4,2.9,2.0,4.1,4.1,4.1,16.4,24.1,36.8,4.1,22.5,134.7,400.8,98.0,244509.0
